timestamp,device_id,pressure_bar,pressure_status,flow_rate_L_min,total_volume_L,tds_ppm,tds_status,ph,ph_status,temperature_C,wifi_status,signal_strength_dBm,sensor_status,alert
2025-01-01 09:15:00,ESP32_WATER_01,3.99,Normal,5.09,26.44,445,Moderate,7.32,Neutral,22.16,Connected,-85,OK,None
2025-01-01 09:30:00,ESP32_WATER_01,2.47,Normal,0.93,26.67,391,Moderate,5.91,Acidic,25.97,Connected,-60,OK,pH Out of Range
2025-01-01 09:45:00,ESP32_WATER_01,3.08,Normal,0.68,26.84,146,Good,7.2,Neutral,20.84,Connected,-79,OK,None
2025-01-01 10:00:00,ESP32_WATER_01,3.3,Normal,1.53,27.23,387,Moderate,7.51,Neutral,24.12,Connected,-79,OK,None
2025-01-01 10:15:00,ESP32_WATER_01,3.07,Normal,4.25,28.29,290,Good,6.29,Acidic,28.92,Connected,-81,OK,pH Out of Range
2025-01-01 10:30:00,ESP32_WATER_01,2.95,Normal,3.01,29.04,276,Good,7.21,Neutral,20.7,Connected,-66,OK,None
2025-01-01 10:45:00,ESP32_WATER_01,5.18,High,3.17,29.84,380,Moderate,6.88,Neutral,26.35,Connected,-58,OK,Pressure Alert
2025-01-01 11:00:00,ESP32_WATER_01,2.41,Normal,2.24,30.4,308,Moderate,7.82,Neutral,26.64,Connected,-63,OK,None
2025-01-01 11:15:00,ESP32_WATER_01,2.71,Normal,1.56,30.79,289,Good,6.69,Neutral,24.13,Connected,-78,OK,None
2025-01-01 11:30:00,ESP32_WATER_01,2.82,Normal,2.31,31.36,213,Good,8.06,Neutral,26.87,Connected,-70,OK,None
2025-01-01 11:45:00,ESP32_WATER_01,3.42,Normal,1.79,31.81,393,Moderate,7.72,Neutral,24.44,Connected,-80,OK,None
2025-01-01 12:00:00,ESP32_WATER_01,3.14,Normal,1.47,32.18,402,Moderate,7.25,Neutral,27.39,Connected,-75,OK,None
2025-01-01 12:15:00,ESP32_WATER_01,2.29,Normal,2.71,32.86,332,Moderate,6.63,Neutral,21.8,Connected,-73,OK,None
2025-01-01 12:30:00,ESP32_WATER_01,3.13,Normal,1.66,33.27,226,Good,7.02,Neutral,30.67,Connected,-84,OK,None
2025-01-01 12:45:00,ESP32_WATER_01,2.85,Normal,2.49,33.89,344,Moderate,7.47,Neutral,29.31,Connected,-84,OK,None
2025-01-01 13:00:00,ESP32_WATER_01,2.73,Normal,0.27,33.96,371,Moderate,7.24,Neutral,18.31,Connected,-73,OK,None
2025-01-01 13:15:00,ESP32_WATER_01,3.24,Normal,2.34,34.55,317,Moderate,6.76,Neutral,28.52,Connected,-67,OK,None
2025-01-01 13:30:00,ESP32_WATER_01,3.41,Normal,1.65,34.96,390,Moderate,7.64,Neutral,23.27,Connected,-53,OK,None
2025-01-01 13:45:00,ESP32_WATER_01,3.37,Normal,5.28,36.28,333,Moderate,7.16,Neutral,29.3,Connected,-49,OK,None
2025-01-01 14:00:00,ESP32_WATER_01,2.66,Normal,0.47,36.4,344,Moderate,7.31,Neutral,28.03,Connected,-61,OK,None
2025-01-01 14:15:00,ESP32_WATER_01,2.88,Normal,2.21,36.95,438,Moderate,7.6,Neutral,21.74,Connected,-48,OK,None
2025-01-01 14:30:00,ESP32_WATER_01,3.13,Normal,3.71,37.88,280,Good,7.55,Neutral,26.73,Connected,-46,OK,None
2025-01-01 14:45:00,ESP32_WATER_01,3.39,Normal,1.85,38.34,194,Good,7.63,Neutral,22.9,Connected,-68,OK,None
2025-01-01 15:00:00,ESP32_WATER_01,2.81,Normal,1.61,38.74,306,Moderate,7.48,Neutral,26.61,Connected,-57,OK,None
2025-01-01 15:15:00,ESP32_WATER_01,2.93,Normal,3.7,39.66,274,Good,6.93,Neutral,25.14,Connected,-49,OK,None
2025-01-01 15:30:00,ESP32_WATER_01,2.56,Normal,2.96,40.4,206,Good,7.18,Neutral,22.81,Connected,-75,OK,None
2025-01-01 15:45:00,ESP32_WATER_01,2.52,Normal,3.12,41.18,369,Moderate,7.74,Neutral,20.99,Connected,-63,OK,None
2025-01-01 16:00:00,ESP32_WATER_01,3.33,Normal,1.47,41.55,320,Moderate,6.66,Neutral,25.69,Connected,-63,OK,None
2025-01-01 16:15:00,ESP32_WATER_01,3.54,Normal,1.32,41.88,174,Good,6.75,Neutral,26.39,Connected,-51,OK,None
2025-01-01 16:30:00,ESP32_WATER_01,2.97,Normal,2.49,42.51,443,Moderate,7.42,Neutral,24.53,Connected,-83,OK,None
2025-01-01 16:45:00,ESP32_WATER_01,3.4,Normal,3.91,43.49,261,Good,7.16,Neutral,22.68,Connected,-68,OK,None
2025-01-01 17:00:00,ESP32_WATER_01,3.14,Normal,0.59,43.63,270,Good,6.53,Neutral,23.55,Connected,-77,OK,None
2025-01-01 17:15:00,ESP32_WATER_01,2.74,Normal,1.9,44.11,395,Moderate,7.48,Neutral,21.71,Connected,-66,OK,None
2025-01-01 17:30:00,ESP32_WATER_01,3.14,Normal,1.37,44.45,885,Poor,7.38,Neutral,27.21,Connected,-62,OK,High TDS
2025-01-01 17:45:00,ESP32_WATER_01,3.62,Normal,2.08,44.97,407,Moderate,8.25,Neutral,18.52,Connected,-69,OK,None
2025-01-01 18:00:00,ESP32_WATER_01,2.99,Normal,3.47,45.84,145,Good,7.28,Neutral,27.86,Connected,-74,OK,None
2025-01-01 18:15:00,ESP32_WATER_01,3.63,Normal,1.01,46.09,297,Good,8.05,Neutral,24.77,Connected,-53,OK,None
2025-01-01 18:30:00,ESP32_WATER_01,1.95,Low,3.2,46.89,330,Moderate,7.59,Neutral,26.56,Disconnected,-80,Fault,Pressure Alert
2025-01-01 18:45:00,ESP32_WATER_01,3.33,Normal,1.51,47.27,424,Moderate,6.45,Acidic,26.86,Connected,-56,OK,pH Out of Range
2025-01-01 19:00:00,ESP32_WATER_01,3.03,Normal,4.34,48.36,252,Good,7.21,Neutral,25.35,Connected,-80,OK,None
2025-01-01 19:15:00,ESP32_WATER_01,2.88,Normal,1.06,48.62,292,Good,7.17,Neutral,23.83,Connected,-63,OK,None
2025-01-01 19:30:00,ESP32_WATER_01,3.04,Normal,3.88,49.59,331,Moderate,7.16,Neutral,28.32,Connected,-79,OK,None
2025-01-01 19:45:00,ESP32_WATER_01,2.2,Normal,0.65,49.75,380,Moderate,6.85,Neutral,19.85,Connected,-60,OK,None
2025-01-01 20:00:00,ESP32_WATER_01,2.91,Normal,2.37,50.35,231,Good,7.52,Neutral,28.91,Connected,-83,OK,None
2025-01-01 20:15:00,ESP32_WATER_01,3.14,Normal,3.25,51.16,384,Moderate,7.06,Neutral,21.63,Connected,-61,OK,None
2025-01-01 20:30:00,ESP32_WATER_01,3.59,Normal,1.09,51.43,272,Good,7.67,Neutral,24.02,Connected,-83,OK,None
2025-01-01 20:45:00,ESP32_WATER_01,2.79,Normal,1.41,51.78,350,Moderate,7.61,Neutral,29.29,Connected,-71,OK,None
2025-01-01 21:00:00,ESP32_WATER_01,4.82,High,2.1,52.31,304,Moderate,7.1,Neutral,31.69,Connected,-47,OK,Pressure Alert
2025-01-01 21:15:00,ESP32_WATER_01,2.8,Normal,1.6,52.71,341,Moderate,6.96,Neutral,25.55,Connected,-82,OK,None
2025-01-01 21:30:00,ESP32_WATER_01,3.37,Normal,1.3,53.04,336,Moderate,6.98,Neutral,20.94,Connected,-48,OK,None
2025-01-01 21:45:00,ESP32_WATER_01,3.13,Normal,3.74,53.97,422,Moderate,7.21,Neutral,27.56,Connected,-65,OK,None
2025-01-01 22:00:00,ESP32_WATER_01,2.79,Normal,4.65,55.13,301,Moderate,7.33,Neutral,24.88,Connected,-56,OK,None
2025-01-01 22:15:00,ESP32_WATER_01,3.21,Normal,4.46,56.25,295,Good,7.02,Neutral,21.81,Connected,-79,OK,None
2025-01-01 22:30:00,ESP32_WATER_01,3.04,Normal,2.87,56.97,405,Moderate,7.03,Neutral,25.66,Connected,-73,OK,None
2025-01-01 22:45:00,ESP32_WATER_01,3.39,Normal,3.15,57.75,432,Moderate,7.31,Neutral,21.07,Connected,-79,OK,None
2025-01-01 23:00:00,ESP32_WATER_01,2.72,Normal,0.94,57.99,288,Good,7.61,Neutral,25.59,Connected,-63,OK,None
2025-01-01 23:15:00,ESP32_WATER_01,2.87,Normal,1.95,58.48,375,Moderate,7.3,Neutral,22.24,Connected,-79,OK,None
2025-01-01 23:30:00,ESP32_WATER_01,2.84,Normal,2.23,59.03,251,Good,7.19,Neutral,19.1,Connected,-76,OK,None
2025-01-01 23:45:00,ESP32_WATER_01,2.41,Normal,2.56,59.67,375,Moderate,7.29,Neutral,20.01,Connected,-72,OK,None
2025-01-02 00:00:00,ESP32_WATER_01,3.12,Normal,2.52,60.31,393,Moderate,6.48,Acidic,23.18,Connected,-81,OK,pH Out of Range
2025-01-02 00:15:00,ESP32_WATER_01,5.59,High,2.1,60.83,297,Good,7.11,Neutral,26.51,Connected,-67,OK,Pressure Alert
2025-01-02 00:30:00,ESP32_WATER_01,3.0,Normal,2.85,61.54,408,Moderate,6.7,Neutral,28.76,Connected,-49,OK,None
2025-01-02 00:45:00,ESP32_WATER_01,2.91,Normal,2.44,62.15,298,Good,6.98,Neutral,29.28,Connected,-53,OK,None
2025-01-02 01:00:00,ESP32_WATER_01,2.43,Normal,2.44,62.76,321,Moderate,6.83,Neutral,20.46,Connected,-72,OK,None
2025-01-02 01:15:00,ESP32_WATER_01,2.83,Normal,1.15,63.05,351,Moderate,6.83,Neutral,24.33,Connected,-83,OK,None
2025-01-02 01:30:00,ESP32_WATER_01,2.86,Normal,0.75,63.24,243,Good,6.81,Neutral,23.17,Connected,-79,OK,None
2025-01-02 01:45:00,ESP32_WATER_01,2.68,Normal,2.57,63.88,211,Good,8.13,Neutral,24.68,Connected,-56,OK,None
2025-01-02 02:00:00,ESP32_WATER_01,2.94,Normal,1.46,64.25,342,Moderate,7.18,Neutral,29.23,Connected,-59,OK,None
2025-01-02 02:15:00,ESP32_WATER_01,3.16,Normal,1.2,64.55,260,Good,7.68,Neutral,25.48,Disconnected,-50,Fault,None
2025-01-02 02:30:00,ESP32_WATER_01,3.75,Normal,3.31,65.37,222,Good,7.5,Neutral,27.6,Connected,-48,OK,None
2025-01-02 02:45:00,ESP32_WATER_01,3.07,Normal,1.97,65.87,381,Moderate,7.48,Neutral,31.63,Connected,-75,OK,None
2025-01-02 03:00:00,ESP32_WATER_01,3.1,Normal,5.11,67.14,441,Moderate,7.42,Neutral,20.31,Connected,-50,OK,None
2025-01-02 03:15:00,ESP32_WATER_01,2.97,Normal,3.06,67.91,388,Moderate,8.03,Neutral,23.58,Connected,-70,OK,None
2025-01-02 03:30:00,ESP32_WATER_01,2.23,Normal,1.09,68.18,225,Good,7.37,Neutral,26.71,Connected,-69,OK,None
2025-01-02 03:45:00,ESP32_WATER_01,2.99,Normal,3.33,69.02,334,Moderate,6.49,Acidic,25.8,Connected,-67,OK,pH Out of Range
2025-01-02 04:00:00,ESP32_WATER_01,3.02,Normal,2.75,69.7,295,Good,7.13,Neutral,28.15,Connected,-51,OK,None
2025-01-02 04:15:00,ESP32_WATER_01,3.99,Normal,1.06,69.97,251,Good,6.78,Neutral,23.85,Connected,-48,OK,None
2025-01-02 04:30:00,ESP32_WATER_01,2.92,Normal,1.32,70.3,326,Moderate,6.64,Neutral,25.62,Connected,-84,OK,None
2025-01-02 04:45:00,ESP32_WATER_01,3.12,Normal,3.23,71.11,314,Moderate,7.37,Neutral,22.73,Connected,-47,OK,None
2025-01-02 05:00:00,ESP32_WATER_01,2.99,Normal,0.37,71.2,301,Moderate,6.37,Acidic,28.19,Connected,-59,OK,pH Out of Range
2025-01-02 05:15:00,ESP32_WATER_01,2.53,Normal,0.23,71.25,399,Moderate,7.24,Neutral,25.13,Connected,-85,OK,None
2025-01-02 05:30:00,ESP32_WATER_01,3.46,Normal,2.34,71.84,423,Moderate,6.54,Neutral,29.21,Connected,-84,OK,None
2025-01-02 05:45:00,ESP32_WATER_01,3.3,Normal,2.21,72.39,735,Poor,7.13,Neutral,29.23,Connected,-71,OK,High TDS
2025-01-02 06:00:00,ESP32_WATER_01,3.32,Normal,2.49,73.02,305,Moderate,7.51,Neutral,21.16,Connected,-85,OK,None
2025-01-02 06:15:00,ESP32_WATER_01,2.64,Normal,2.22,73.57,300,Moderate,6.94,Neutral,29.69,Connected,-80,OK,None
2025-01-02 06:30:00,ESP32_WATER_01,3.56,Normal,2.82,74.28,361,Moderate,6.73,Neutral,27.79,Connected,-56,OK,None
2025-01-02 06:45:00,ESP32_WATER_01,2.44,Normal,4.69,75.45,866,Poor,7.06,Neutral,24.53,Connected,-59,OK,High TDS
2025-01-02 07:00:00,ESP32_WATER_01,3.23,Normal,2.07,75.97,263,Good,7.45,Neutral,27.52,Connected,-69,OK,None
2025-01-02 07:15:00,ESP32_WATER_01,3.88,Normal,0.54,76.1,309,Moderate,7.32,Neutral,23.48,Connected,-46,OK,None
2025-01-02 07:30:00,ESP32_WATER_01,4.69,High,0.32,76.18,200,Good,7.17,Neutral,29.08,Connected,-62,OK,Pressure Alert
2025-01-02 07:45:00,ESP32_WATER_01,2.77,Normal,1.57,76.57,194,Good,6.87,Neutral,25.3,Connected,-64,OK,None
2025-01-02 08:00:00,ESP32_WATER_01,3.04,Normal,1.6,76.97,225,Good,7.04,Neutral,27.66,Connected,-71,OK,None
2025-01-02 08:15:00,ESP32_WATER_01,2.8,Normal,0.64,77.13,299,Good,7.48,Neutral,23.11,Connected,-65,OK,None
2025-01-02 08:30:00,ESP32_WATER_01,2.38,Normal,0.17,77.18,368,Moderate,7.15,Neutral,25.85,Connected,-59,OK,None
2025-01-02 08:45:00,ESP32_WATER_01,3.03,Normal,1.48,77.55,257,Good,7.3,Neutral,27.66,Connected,-70,OK,None
2025-01-02 09:00:00,ESP32_WATER_01,2.58,Normal,6.08,79.07,309,Moderate,7.06,Neutral,25.92,Connected,-72,OK,None
2025-01-02 09:15:00,ESP32_WATER_01,3.19,Normal,2.74,79.75,337,Moderate,6.75,Neutral,26.68,Connected,-82,OK,None
2025-01-02 09:30:00,ESP32_WATER_01,2.63,Normal,2.57,80.4,442,Moderate,8.0,Neutral,22.72,Connected,-62,OK,None
2025-01-02 09:45:00,ESP32_WATER_01,3.62,Normal,1.81,80.85,324,Moderate,7.51,Neutral,25.91,Connected,-73,OK,None
2025-01-02 10:00:00,ESP32_WATER_01,2.69,Normal,1.57,81.24,328,Moderate,7.31,Neutral,22.74,Connected,-81,OK,None
2025-01-02 10:15:00,ESP32_WATER_01,2.87,Normal,2.94,81.97,271,Good,7.13,Neutral,24.94,Connected,-46,OK,None
2025-01-02 10:30:00,ESP32_WATER_01,3.33,Normal,0.72,82.15,466,Moderate,7.77,Neutral,23.52,Connected,-53,OK,None
2025-01-02 10:45:00,ESP32_WATER_01,2.51,Normal,7.14,83.94,381,Moderate,6.88,Neutral,24.39,Connected,-49,OK,None
2025-01-02 11:00:00,ESP32_WATER_01,3.09,Normal,0.77,84.13,231,Good,7.47,Neutral,19.75,Connected,-78,OK,None
2025-01-02 11:15:00,ESP32_WATER_01,3.52,Normal,3.13,84.91,439,Moderate,7.22,Neutral,25.08,Connected,-47,OK,None
2025-01-02 11:30:00,ESP32_WATER_01,2.36,Normal,0.84,85.12,377,Moderate,7.09,Neutral,24.68,Connected,-67,OK,None
2025-01-02 11:45:00,ESP32_WATER_01,3.07,Normal,2.26,85.69,338,Moderate,7.09,Neutral,20.45,Connected,-76,OK,None
2025-01-02 12:00:00,ESP32_WATER_01,3.1,Normal,3.37,86.53,372,Moderate,7.72,Neutral,26.02,Connected,-47,OK,None
2025-01-02 12:15:00,ESP32_WATER_01,3.31,Normal,0.44,86.64,410,Moderate,6.45,Acidic,27.48,Disconnected,-67,Fault,pH Out of Range
2025-01-02 12:30:00,ESP32_WATER_01,2.51,Normal,0.92,86.87,259,Good,7.87,Neutral,25.95,Connected,-55,OK,None
2025-01-02 12:45:00,ESP32_WATER_01,2.47,Normal,0.98,87.11,288,Good,7.61,Neutral,27.36,Connected,-72,OK,None
2025-01-02 13:00:00,ESP32_WATER_01,3.21,Normal,1.67,87.53,316,Moderate,7.21,Neutral,23.42,Connected,-61,OK,None
2025-01-02 13:15:00,ESP32_WATER_01,3.12,Normal,2.47,88.15,220,Good,7.11,Neutral,24.36,Connected,-78,OK,None
2025-01-02 13:30:00,ESP32_WATER_01,3.1,Normal,6.16,89.69,378,Moderate,7.2,Neutral,25.22,Connected,-82,OK,None
2025-01-02 13:45:00,ESP32_WATER_01,3.14,Normal,1.31,90.02,297,Good,7.39,Neutral,25.44,Connected,-81,OK,None
2025-01-02 14:00:00,ESP32_WATER_01,2.73,Normal,5.91,91.49,289,Good,7.69,Neutral,17.95,Connected,-50,OK,None
2025-01-02 14:15:00,ESP32_WATER_01,3.09,Normal,2.67,92.16,268,Good,7.39,Neutral,22.24,Connected,-80,OK,None
2025-01-02 14:30:00,ESP32_WATER_01,3.12,Normal,0.74,92.35,317,Moderate,7.31,Neutral,28.01,Connected,-56,OK,None
2025-01-02 14:45:00,ESP32_WATER_01,2.71,Normal,1.81,92.8,332,Moderate,7.21,Neutral,22.65,Connected,-46,OK,None
2025-01-02 15:00:00,ESP32_WATER_01,3.75,Normal,0.55,92.94,399,Moderate,6.46,Acidic,24.26,Connected,-48,OK,pH Out of Range
2025-01-02 15:15:00,ESP32_WATER_01,3.19,Normal,1.57,93.33,401,Moderate,6.54,Neutral,24.84,Connected,-49,OK,None
2025-01-02 15:30:00,ESP32_WATER_01,2.52,Normal,1.48,93.7,229,Good,7.64,Neutral,20.98,Connected,-67,OK,None
2025-01-02 15:45:00,ESP32_WATER_01,3.26,Normal,2.29,94.28,356,Moderate,7.39,Neutral,29.74,Connected,-68,OK,None
2025-01-02 16:00:00,ESP32_WATER_01,2.61,Normal,3.14,95.06,418,Moderate,7.53,Neutral,24.91,Connected,-65,OK,None
2025-01-02 16:15:00,ESP32_WATER_01,3.31,Normal,1.93,95.54,302,Moderate,7.52,Neutral,22.43,Connected,-49,OK,None
2025-01-02 16:30:00,ESP32_WATER_01,3.46,Normal,0.83,95.75,306,Moderate,7.45,Neutral,26.95,Connected,-69,OK,None
2025-01-02 16:45:00,ESP32_WATER_01,2.67,Normal,5.09,97.02,288,Good,7.55,Neutral,24.11,Connected,-55,OK,None
2025-01-02 17:00:00,ESP32_WATER_01,3.39,Normal,6.43,98.63,363,Moderate,6.86,Neutral,25.18,Connected,-65,OK,None
2025-01-02 17:15:00,ESP32_WATER_01,3.17,Normal,1.78,99.07,342,Moderate,7.43,Neutral,29.23,Connected,-75,OK,None
2025-01-02 17:30:00,ESP32_WATER_01,3.33,Normal,2.59,99.72,398,Moderate,7.38,Neutral,23.38,Connected,-70,OK,None
2025-01-02 17:45:00,ESP32_WATER_01,3.76,Normal,1.71,100.15,311,Moderate,7.73,Neutral,28.43,Connected,-77,OK,None
2025-01-02 18:00:00,ESP32_WATER_01,2.9,Normal,2.3,100.72,420,Moderate,5.75,Acidic,23.97,Connected,-63,OK,pH Out of Range
2025-01-02 18:15:00,ESP32_WATER_01,2.7,Normal,2.39,101.32,367,Moderate,8.16,Neutral,25.2,Connected,-47,OK,None
2025-01-02 18:30:00,ESP32_WATER_01,2.64,Normal,0.65,101.48,414,Moderate,7.54,Neutral,25.91,Connected,-63,OK,None
2025-01-02 18:45:00,ESP32_WATER_01,2.67,Normal,1.59,101.88,272,Good,7.3,Neutral,23.97,Connected,-83,OK,None
2025-01-02 19:00:00,ESP32_WATER_01,2.97,Normal,4.11,102.91,445,Moderate,6.82,Neutral,21.95,Connected,-80,OK,None
2025-01-02 19:15:00,ESP32_WATER_01,3.14,Normal,3.87,103.87,275,Good,7.08,Neutral,26.36,Connected,-66,OK,None
2025-01-02 19:30:00,ESP32_WATER_01,3.11,Normal,1.57,104.27,279,Good,7.34,Neutral,28.36,Connected,-71,OK,None
2025-01-02 19:45:00,ESP32_WATER_01,3.33,Normal,2.42,104.87,288,Good,7.87,Neutral,26.88,Connected,-56,OK,None
2025-01-02 20:00:00,ESP32_WATER_01,3.01,Normal,1.67,105.29,279,Good,7.81,Neutral,26.79,Connected,-54,OK,None
2025-01-02 20:15:00,ESP32_WATER_01,3.58,Normal,3.22,106.1,471,Moderate,7.45,Neutral,23.63,Connected,-80,OK,None
2025-01-02 20:30:00,ESP32_WATER_01,2.89,Normal,0.43,106.2,361,Moderate,7.49,Neutral,27.07,Connected,-55,OK,None
2025-01-02 20:45:00,ESP32_WATER_01,4.09,Normal,2.95,106.94,359,Moderate,7.28,Neutral,26.07,Connected,-70,OK,None
2025-01-02 21:00:00,ESP32_WATER_01,3.25,Normal,5.32,108.27,168,Good,6.79,Neutral,27.59,Connected,-57,OK,None
2025-01-02 21:15:00,ESP32_WATER_01,2.66,Normal,1.14,108.56,422,Moderate,6.89,Neutral,25.3,Connected,-64,OK,None
2025-01-02 21:30:00,ESP32_WATER_01,2.57,Normal,4.85,109.77,236,Good,7.59,Neutral,26.79,Connected,-46,OK,None
2025-01-02 21:45:00,ESP32_WATER_01,3.19,Normal,2.51,110.4,317,Moderate,7.48,Neutral,23.55,Connected,-58,OK,None
2025-01-02 22:00:00,ESP32_WATER_01,2.91,Normal,1.92,110.88,263,Good,6.95,Neutral,27.09,Connected,-71,OK,None
2025-01-02 22:15:00,ESP32_WATER_01,3.29,Normal,1.56,111.27,339,Moderate,6.9,Neutral,21.22,Connected,-65,OK,None
2025-01-02 22:30:00,ESP32_WATER_01,3.19,Normal,4.96,112.51,442,Moderate,7.46,Neutral,24.0,Connected,-78,OK,None
2025-01-02 22:45:00,ESP32_WATER_01,2.97,Normal,1.67,112.92,243,Good,7.08,Neutral,22.91,Connected,-85,OK,None
2025-01-02 23:00:00,ESP32_WATER_01,2.66,Normal,5.85,114.39,262,Good,6.88,Neutral,35.52,Connected,-56,OK,None
2025-01-02 23:15:00,ESP32_WATER_01,2.39,Normal,5.41,115.74,331,Moderate,7.34,Neutral,26.96,Connected,-84,OK,None
2025-01-02 23:30:00,ESP32_WATER_01,2.82,Normal,1.39,116.09,445,Moderate,7.47,Neutral,21.75,Connected,-62,OK,None
2025-01-02 23:45:00,ESP32_WATER_01,3.34,Normal,1.77,116.53,286,Good,6.76,Neutral,20.9,Connected,-81,OK,None
